# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sun Apr 20 23:36:17 2025
#
# User preference: *
#
# CONSTRAINT:  where (pl_name_display like '%KOI%')
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN sy_snum:        Number of Stars
# COLUMN sy_pnum:        Number of Planets
# COLUMN discoverymethod: Discovery Method
# COLUMN disc_year:      Discovery Year
# COLUMN disc_facility:  Discovery Facility
# COLUMN pl_controv_flag: Controversial Flag
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au]
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [au]
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [au]
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radeerr1:    Planet Radius Upper Unc. [Earth Radius]
# COLUMN pl_radeerr2:    Planet Radius Lower Unc. [Earth Radius]
# COLUMN pl_radelim:     Planet Radius Limit Flag
# COLUMN pl_radj:        Planet Radius [Jupiter Radius]
# COLUMN pl_radjerr1:    Planet Radius Upper Unc. [Jupiter Radius]
# COLUMN pl_radjerr2:    Planet Radius Lower Unc. [Jupiter Radius]
# COLUMN pl_radjlim:     Planet Radius Limit Flag
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_bmasseerr1:  Planet Mass or Mass*sin(i) [Earth Mass] Upper Unc.
# COLUMN pl_bmasseerr2:  Planet Mass or Mass*sin(i) [Earth Mass] Lower Unc.
# COLUMN pl_bmasselim:   Planet Mass or Mass*sin(i) [Earth Mass] Limit Flag
# COLUMN pl_bmassj:      Planet Mass or Mass*sin(i) [Jupiter Mass]
# COLUMN pl_bmassjerr1:  Planet Mass or Mass*sin(i) [Jupiter Mass] Upper Unc.
# COLUMN pl_bmassjerr2:  Planet Mass or Mass*sin(i) [Jupiter Mass] Lower Unc.
# COLUMN pl_bmassjlim:   Planet Mass or Mass*sin(i) [Jupiter Mass] Limit Flag
# COLUMN pl_bmassprov:   Planet Mass or Mass*sin(i) Provenance
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbeccenerr1: Eccentricity Upper Unc.
# COLUMN pl_orbeccenerr2: Eccentricity Lower Unc.
# COLUMN pl_orbeccenlim: Eccentricity Limit Flag
# COLUMN pl_insol:       Insolation Flux [Earth Flux]
# COLUMN pl_insolerr1:   Insolation Flux Upper Unc. [Earth Flux]
# COLUMN pl_insolerr2:   Insolation Flux Lower Unc. [Earth Flux]
# COLUMN pl_insollim:    Insolation Flux Limit Flag
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN pl_eqterr1:     Equilibrium Temperature Upper Unc. [K]
# COLUMN pl_eqterr2:     Equilibrium Temperature Lower Unc. [K]
# COLUMN pl_eqtlim:      Equilibrium Temperature Limit Flag
# COLUMN ttv_flag:       Data show Transit Timing Variations
# COLUMN st_spectype:    Spectral Type
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_tefferr1:    Stellar Effective Temperature Upper Unc. [K]
# COLUMN st_tefferr2:    Stellar Effective Temperature Lower Unc. [K]
# COLUMN st_tefflim:     Stellar Effective Temperature Limit Flag
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar Radius]
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar Radius]
# COLUMN st_radlim:      Stellar Radius Limit Flag
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass]
# COLUMN st_masslim:     Stellar Mass Limit Flag
# COLUMN st_met:         Stellar Metallicity [dex]
# COLUMN st_meterr1:     Stellar Metallicity Upper Unc. [dex]
# COLUMN st_meterr2:     Stellar Metallicity Lower Unc. [dex]
# COLUMN st_metlim:      Stellar Metallicity Limit Flag
# COLUMN st_metratio:    Stellar Metallicity Ratio
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN st_loggerr1:    Stellar Surface Gravity Upper Unc. [log10(cm/s**2)]
# COLUMN st_loggerr2:    Stellar Surface Gravity Lower Unc. [log10(cm/s**2)]
# COLUMN st_logglim:     Stellar Surface Gravity Limit Flag
# COLUMN rastr:          RA [sexagesimal]
# COLUMN ra:             RA [deg]
# COLUMN decstr:         Dec [sexagesimal]
# COLUMN dec:            Dec [deg]
# COLUMN sy_dist:        Distance [pc]
# COLUMN sy_disterr1:    Distance [pc] Upper Unc
# COLUMN sy_disterr2:    Distance [pc] Lower Unc
# COLUMN sy_vmag:        V (Johnson) Magnitude
# COLUMN sy_vmagerr1:    V (Johnson) Magnitude Upper Unc
# COLUMN sy_vmagerr2:    V (Johnson) Magnitude Lower Unc
# COLUMN sy_kmag:        Ks (2MASS) Magnitude
# COLUMN sy_kmagerr1:    Ks (2MASS) Magnitude Upper Unc
# COLUMN sy_kmagerr2:    Ks (2MASS) Magnitude Lower Unc
# COLUMN sy_gaiamag:     Gaia Magnitude
# COLUMN sy_gaiamagerr1: Gaia Magnitude Upper Unc
# COLUMN sy_gaiamagerr2: Gaia Magnitude Lower Unc
#
pl_name,hostname,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,pl_controv_flag,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,ttv_flag,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2
KOI-1833 d,Kepler-968,1,3,Transit,2021,Kepler,0,7.68500000000,,,0,0.0634000000,,,0,2.58000000,0.23000000,-0.22000000,0,0.23017258,0.02051926,-0.01962712,0,11.02000000,,,1,0.03467280,,,1,Mass,0.000000,,,0,27.3500,8.4900,-7.3300,0,613.00,23.00,-23.00,0,0,,4413.00,75.00,-69.00,0,0.667000,0.012000,-0.012000,0,0.681000,0.025000,-0.024000,0,-0.5800,0.3000,-0.3000,0,[Fe/H],4.682000,0.045000,-0.036000,0,19h02m24.62s,285.6025889,+50d06m43.34s,50.1120401,290.32400000,1.44800000,-1.43500000,14.6260000,0.1260000,-0.1260000,11.8310000,0.0250000,-0.0250000,14.2499000,0.0003920,-0.0003920
KOI-1843.03,Kepler-974,1,2,Transit,2013,Kepler,0,0.17689130000,0.00000020000,-0.00000020000,0,0.0050000000,,,0,0.61000000,0.12000000,-0.08000000,0,0.05442065,0.01070570,-0.00713713,0,8.00000000,,,1,0.02517081,,,1,Mass,,,,,,,,,1654.00,,,0,0,,3584.00,65.00,-65.00,0,0.450000,0.080000,-0.050000,0,0.460000,0.080000,-0.050000,0,0.0000,0.1000,-0.1000,0,[Fe/H],4.800000,0.060000,-0.090000,0,19h00m03.15s,285.0131082,+40d13m15.44s,40.2209547,134.31100000,0.44700000,-0.44400000,15.2950000,0.0580000,-0.0580000,11.0560000,0.0170000,-0.0170000,14.4126000,0.0004830,-0.0004830
KOI-217 b,KOI-217,1,1,Transit,2010,Kepler,0,3.90512000000,0.00005000000,-0.00005000000,0,0.0477000000,0.0007000000,-0.0007000000,0,12.44200000,0.22400000,-0.22400000,0,1.11000000,0.02000000,-0.02000000,0,,,,,,,,,Msini,0.000000,,,0,272.0330,14.7100,-13.8240,0,1046.00,,,0,1,,5545.00,,,0,0.860000,0.020000,,0,0.950000,0.050000,,0,0.1200,0.0770,-0.0830,0,[Fe/H],4.530000,0.012000,-0.011000,0,19h39m27.71s,294.8654667,+46d17m08.93s,46.2858128,914.69900000,17.16750000,-17.16750000,15.2570000,0.0690000,-0.0690000,13.4690000,0.0400000,-0.0400000,15.1013000,0.0004820,-0.0004820
KOI-2513.01,KOI-2513,1,1,Transit,2023,Kepler,0,19.00547000000,0.00005000000,-0.00005000000,0,0.5000000000,0.2000000000,-0.4000000000,0,2.80224518,22.41796140,-0.56044904,0,0.25000000,2.00000000,-0.05000000,0,7310.05336100,635.65681400,-635.65681400,0,23.00000000,2.00000000,-2.00000000,0,Mass,0.360000,0.030000,-0.030000,0,78.1900,74.1200,-26.6100,0,758.00,,,0,0,,5900.00,100.00,-100.00,0,1.200000,0.400000,-0.200000,0,0.910000,0.100000,-0.060000,0,-0.3700,0.0200,-0.0200,0,[Fe/H],4.300000,0.200000,-0.200000,0,19h34m40.53s,293.6688776,+46d22m45.24s,46.3792321,1369.87000000,,,14.9130000,0.0690000,-0.0690000,13.3670000,0.0360000,-0.0360000,14.8090000,0.0006870,-0.0006870
KOI-3503 b,KOI-3503,1,2,Transit,2021,Kepler,0,21.18500000000,,,0,0.1424700000,0.0011300000,-0.0011300000,0,1.19000000,0.24000000,-0.19000000,0,0.10616487,0.02141140,-0.01695069,0,9.20000000,,,1,0.02894644,,,1,Mass,0.000000,,,0,90.2000,6.2000,-6.2000,0,785.00,14.00,-13.00,0,1,,6001.00,60.00,-60.00,0,1.255000,0.034000,-0.033000,0,0.858000,0.022000,-0.019000,0,-0.5428,0.0127,-0.0127,0,[M/H],4.547000,0.036000,-0.204000,0,19h32m36.18s,293.1507654,+41d43m44.95s,41.7291532,887.06400000,12.37000000,-12.37000000,13.8310000,0.1140000,-0.1140000,12.4830000,0.0260000,-0.0260000,13.7744000,0.0002840,-0.0002840
KOI-3503 c,KOI-3503,1,2,Transit,2021,Kepler,0,31.82800000000,,,0,0.1868800000,0.0014700000,-0.0014700000,0,1.21000000,0.28000000,-0.09000000,0,0.10794916,0.02497997,-0.00802928,0,10.36000000,,,1,0.03259621,,,1,Mass,0.000000,,,0,52.5000,3.6000,-3.6000,0,686.00,12.00,-11.00,0,1,,6001.00,60.00,-60.00,0,1.255000,0.034000,-0.033000,0,0.858000,0.022000,-0.019000,0,-0.5428,0.0127,-0.0127,0,[M/H],4.545000,0.031000,-0.319000,0,19h32m36.18s,293.1507654,+41d43m44.95s,41.7291532,887.06400000,12.37000000,-12.37000000,13.8310000,0.1140000,-0.1140000,12.4830000,0.0260000,-0.0260000,13.7744000,0.0002840,-0.0002840
KOI-351 b,KOI-351,1,8,Transit,2013,Kepler,0,7.00815100000,0.00001900000,-0.00001900000,0,0.0740000000,0.0160000000,-0.0160000000,0,1.31000000,0.17000000,-0.17000000,0,0.11700000,0.01500000,-0.01500000,0,2.27000000,,,0,0.00714000,,,0,M-R relationship,0.000000,,,0,316.4420,10.7900,-10.4100,0,1062.00,,,0,0,,6080.00,260.00,-170.00,0,1.200000,0.100000,-0.100000,0,1.200000,0.100000,-0.100000,0,-0.1200,0.1800,-0.1800,0,[M/H],4.400000,,,0,18h57m44.03s,284.4334642,+49d18m18.45s,49.3051239,848.25400000,10.81850000,-10.81850000,13.8830000,0.0690000,-0.0690000,12.4820000,0.0240000,-0.0240000,13.7397000,0.0002170,-0.0002170
KOI-351 c,KOI-351,1,8,Transit,2013,Kepler,0,8.71937500000,0.00002700000,-0.00002700000,0,0.0890000000,0.0120000000,-0.0120000000,0,1.19000000,0.14000000,-0.14000000,0,0.10600000,0.01200000,-0.01200000,0,1.81000000,,,0,0.00570000,,,0,M-R relationship,0.000000,,,0,236.3150,8.0580,-7.7740,0,987.00,,,0,0,,6080.00,260.00,-170.00,0,1.200000,0.100000,-0.100000,0,1.200000,0.100000,-0.100000,0,-0.1200,0.1800,-0.1800,0,[M/H],4.400000,,,0,18h57m44.03s,284.4334642,+49d18m18.45s,49.3051239,848.25400000,10.81850000,-10.81850000,13.8830000,0.0690000,-0.0690000,12.4820000,0.0240000,-0.0240000,13.7397000,0.0002170,-0.0002170
KOI-351 d,KOI-351,1,8,Transit,2013,Kepler,0,59.73667000000,0.00038000000,-0.00038000000,0,0.3200000000,0.0500000000,-0.0500000000,0,2.87000000,0.30000000,-0.30000000,0,0.25600000,0.02700000,-0.02700000,0,8.60000000,,,0,0.02710000,,,0,M-R relationship,0.000000,,,0,18.1680,0.6190,-0.5980,0,520.00,,,0,0,,6080.00,260.00,-170.00,0,1.200000,0.100000,-0.100000,0,1.200000,0.100000,-0.100000,0,-0.1200,0.1800,-0.1800,0,[M/H],4.400000,,,0,18h57m44.03s,284.4334642,+49d18m18.45s,49.3051239,848.25400000,10.81850000,-10.81850000,13.8830000,0.0690000,-0.0690000,12.4820000,0.0240000,-0.0240000,13.7397000,0.0002170,-0.0002170
KOI-351 e,KOI-351,1,8,Transit,2013,Kepler,0,91.93913000000,0.00073000000,-0.00073000000,0,0.4200000000,0.0600000000,-0.0600000000,0,2.66000000,0.29000000,-0.29000000,0,0.23700000,0.02600000,-0.02600000,0,7.56000000,,,0,0.02380000,,,0,M-R relationship,0.000000,,,0,10.2280,0.3490,-0.3360,0,450.00,,,0,0,,6080.00,260.00,-170.00,0,1.200000,0.100000,-0.100000,0,1.200000,0.100000,-0.100000,0,-0.1200,0.1800,-0.1800,0,[M/H],4.400000,,,0,18h57m44.03s,284.4334642,+49d18m18.45s,49.3051239,848.25400000,10.81850000,-10.81850000,13.8830000,0.0690000,-0.0690000,12.4820000,0.0240000,-0.0240000,13.7397000,0.0002170,-0.0002170
KOI-351 f,KOI-351,1,8,Transit,2013,Kepler,0,124.91440000000,0.00190000000,-0.00190000000,0,0.4800000000,0.0900000000,-0.0900000000,0,2.88000000,0.52000000,-0.52000000,0,0.25700000,0.04600000,-0.04600000,0,8.65000000,,,0,0.02720000,,,0,M-R relationship,0.000000,,,0,6.7960,0.2320,-0.2240,0,407.00,,,0,0,,6080.00,260.00,-170.00,0,1.200000,0.100000,-0.100000,0,1.200000,0.100000,-0.100000,0,-0.1200,0.1800,-0.1800,0,[M/H],4.400000,,,0,18h57m44.03s,284.4334642,+49d18m18.45s,49.3051239,848.25400000,10.81850000,-10.81850000,13.8830000,0.0690000,-0.0690000,12.4820000,0.0240000,-0.0240000,13.7397000,0.0002170,-0.0002170
KOI-351 g,KOI-351,1,8,Transit,2013,Kepler,0,210.60697000000,0.00043000000,-0.00043000000,0,0.7100000000,0.0800000000,-0.0800000000,0,8.10000000,0.80000000,-0.80000000,0,0.72300000,0.07100000,-0.07100000,0,254.26400000,,,1,0.80000000,,,1,Mass,0.000000,,,0,3.3870,0.1160,-0.1110,0,342.00,,,0,0,,6080.00,260.00,-170.00,0,1.200000,0.100000,-0.100000,0,1.200000,0.100000,-0.100000,0,-0.1200,0.1800,-0.1800,0,[M/H],4.400000,,,0,18h57m44.03s,284.4334642,+49d18m18.45s,49.3051239,848.25400000,10.81850000,-10.81850000,13.8830000,0.0690000,-0.0690000,12.4820000,0.0240000,-0.0240000,13.7397000,0.0002170,-0.0002170
KOI-351 h,KOI-351,1,8,Transit,2013,Kepler,0,331.60059000000,0.00037000000,-0.00037000000,0,1.0100000000,0.1100000000,-0.1100000000,0,11.30000000,1.00000000,-1.00000000,0,1.00800000,0.08900000,-0.08900000,0,381.39600000,,,1,1.20000000,,,1,Mass,0.000000,,,0,1.8490,0.0630,-0.0610,0,294.00,,,0,0,,6080.00,260.00,-170.00,0,1.200000,0.100000,-0.100000,0,1.200000,0.100000,-0.100000,0,-0.1200,0.1800,-0.1800,0,[M/H],4.400000,,,0,18h57m44.03s,284.4334642,+49d18m18.45s,49.3051239,848.25400000,10.81850000,-10.81850000,13.8830000,0.0690000,-0.0690000,12.4820000,0.0240000,-0.0240000,13.7397000,0.0002170,-0.0002170
KOI-3680 b,KOI-3680,1,1,Transit,2018,Kepler,0,141.24167100000,0.00008600000,-0.00008600000,0,0.5340000000,0.0120000000,-0.0300000000,0,11.09691000,0.67254000,-0.78463000,0,0.99000000,0.06000000,-0.07000000,0,613.41190000,60.38770000,-66.74430000,0,1.93000000,0.19000000,-0.21000000,0,Mass,0.496000,0.031000,-0.031000,0,3.3000,0.3000,-0.3000,0,347.00,12.00,-12.00,0,0,,5830.00,100.00,-100.00,0,0.960000,0.050000,-0.060000,0,1.010000,0.070000,-0.160000,0,0.1600,0.0700,-0.0700,0,[Fe/H],4.473000,0.027000,-0.034000,0,19h33m07.57s,293.2815266,+45d18m34.77s,45.3096572,921.98600000,23.38450000,-23.38450000,14.6160000,0.1030000,-0.1030000,13.1010000,0.0390000,-0.0390000,14.5027000,0.0002810,-0.0002810
KOI-4777.01,KOI-4777,1,1,Transit,2022,Kepler,0,0.41200000000,0.00000100000,-0.00000100000,0,0.0080000000,0.0003000000,-0.0003000000,0,0.51000000,0.03000000,-0.03000000,0,0.04549923,0.00267643,-0.00267643,0,99.20000000,,,1,0.31211810,,,1,Mass,0.000000,,,0,320.0000,20.0000,-20.0000,0,1180.00,20.00,-20.00,0,0,,3515.00,69.00,-69.00,0,0.400000,0.010000,-0.010000,0,0.410000,0.020000,-0.020000,0,0.1000,0.1000,-0.1000,0,[Fe/H],4.770000,0.040000,-0.040000,0,19h09m02.92s,287.2621474,+42d01m56.01s,42.0322257,172.24500000,1.24300000,-1.22600000,16.4130000,0.0690000,-0.0690000,12.4490000,0.0180000,-0.0180000,15.8525000,0.0006100,-0.0006100
KOI-4978 b,KOI-4978,1,1,Transit,2024,Kepler,0,0.94196700000,0.00000300000,-0.00000300000,0,,,,,0.70000000,0.10000000,-0.10000000,0,0.06244992,0.00892142,-0.00892142,0,0.27100000,,,0,0.00085200,,,0,M-R relationship,,,,,,,,,,,,,0,G,5050.28,,,0,0.966000,0.385000,-0.133000,0,0.859000,0.126000,-0.065000,0,0.1800,0.0400,-0.0400,0,[Fe/H],4.402000,0.120000,-0.256000,0,19h06m21.78s,286.5907635,+38d33m29.88s,38.5582993,936.34100000,26.08300000,-24.72900000,15.6330000,0.1500000,-0.1500000,13.5070000,,,15.2477000,0.0004240,-0.0004240
KOI-55 b,KOI-55,1,2,Orbital Brightness Modulation,2011,Kepler,1,0.24010400000,0.00000400000,-0.00000400000,0,0.0060000000,,,0,0.75900000,,,0,0.06770000,,,0,0.44000000,,,0,0.00140000,,,0,Mass,,,,,,,,,,,,,0,B,27730.00,270.00,-270.00,0,0.203000,0.007000,-0.007000,0,0.496000,0.002000,-0.002000,0,-0.1060,,,0,[Fe/H],5.520000,0.030000,-0.030000,0,19h45m25.48s,296.3561853,+41d05m33.83s,41.0927315,1231.02000000,48.01500000,-48.01500000,15.1540000,0.1500000,-0.1500000,15.4950000,,,14.9062000,0.0006020,-0.0006020
KOI-55 c,KOI-55,1,2,Orbital Brightness Modulation,2011,Kepler,1,0.34288700000,0.00001300000,-0.00001300000,0,0.0076000000,,,0,0.86700000,,,0,0.07730000,,,0,0.65500000,,,0,0.00210000,,,0,Mass,,,,,,,,,,,,,0,B,27730.00,270.00,-270.00,0,0.203000,0.007000,-0.007000,0,0.496000,0.002000,-0.002000,0,-0.1060,,,0,[Fe/H],5.520000,0.030000,-0.030000,0,19h45m25.48s,296.3561853,+41d05m33.83s,41.0927315,1231.02000000,48.01500000,-48.01500000,15.1540000,0.1500000,-0.1500000,15.4950000,,,14.9062000,0.0006020,-0.0006020
KOI-7368 b,KOI-7368,1,1,Transit,2022,Kepler,0,6.84303440000,0.00001250000,-0.00001250000,0,0.0678000000,,,0,2.22000000,0.12000000,-0.12000000,0,0.19800000,0.01100000,-0.01100000,0,5.56000000,,,0,0.01750000,,,0,M-R relationship,0.000000,,,0,99.2400,96.2800,-23.9800,0,805.00,,,0,0,,5241.00,100.00,-100.00,0,0.874000,0.036000,-0.036000,0,0.879000,0.018000,-0.018000,0,0.0578,0.0139,-0.0139,0,[M/H],4.499000,0.030000,-0.030000,0,19h35m47.43s,293.9476365,+48d03m54.93s,48.0652589,264.99500000,1.62600000,-1.60700000,12.9690000,0.0920000,-0.0920000,10.7940000,0.0170000,-0.0170000,12.8094000,0.0023820,-0.0023820
KOI-7913 b,KOI-7913 A,2,1,Transit,2022,Kepler,0,24.27855300000,0.00026300000,-0.00026300000,0,0.1456000000,,,0,2.34000000,0.18000000,-0.18000000,0,0.20900000,0.01600000,-0.01600000,0,6.08000000,,,0,0.01910000,,,0,M-R relationship,0.000000,,,0,8.2700,1.8100,-2.1100,0,432.00,,,0,0,K6 V,4324.00,70.00,-70.00,0,0.788000,0.049000,-0.049000,0,0.760000,0.025000,-0.025000,0,-0.0600,0.0900,-0.0900,0,[Fe/H],4.523000,0.043000,-0.043000,0,19h06m59.65s,286.7485252,+45d09m31.40s,45.1587234,271.27700000,1.24800000,-1.23700000,14.2300000,0.1500000,-0.1500000,11.2120000,,,14.2239000,0.0026290,-0.0026290
KOI-94 b,KOI-94,2,4,Transit,2013,Kepler,0,3.74320800000,0.00001500000,-0.00001500000,0,0.0511900000,0.0006700000,-0.0006700000,0,1.71000000,0.16000000,-0.16000000,0,0.15300000,0.01400000,-0.01400000,0,10.50000000,4.60000000,-4.60000000,0,0.03300000,0.01400000,-0.01400000,0,Mass,0.250000,0.170000,-0.170000,0,1053.1810,29.8760,-28.9670,0,1486.00,,,0,0,,6182.00,58.00,-58.00,0,1.520000,0.140000,-0.140000,0,1.277000,0.050000,-0.050000,0,0.0228,0.0020,-0.0020,0,[Fe/H],4.181000,0.066000,-0.066000,0,19h49m19.94s,297.3330716,+41d53m28.03s,41.8911186,477.05200000,5.00000000,-4.89900000,12.3140000,0.0460000,-0.0460000,10.9260000,0.0190000,-0.0190000,12.1882000,0.0001540,-0.0001540
KOI-94 c,KOI-94,2,4,Transit,2013,Kepler,0,10.42364800000,0.00001600000,-0.00001600000,0,0.1013000000,0.0013000000,-0.0013000000,0,4.32000000,0.41000000,-0.41000000,0,0.38500000,0.03700000,-0.03700000,0,15.60000000,5.70000000,-15.60000000,0,0.04900000,0.01800000,-0.04900000,0,Mass,0.430000,0.230000,-0.230000,0,268.2190,7.6090,-7.3770,0,1012.00,,,0,1,,6182.00,58.00,-58.00,0,1.520000,0.140000,-0.140000,0,1.277000,0.050000,-0.050000,0,0.0228,0.0020,-0.0020,0,[Fe/H],4.181000,0.066000,-0.066000,0,19h49m19.94s,297.3330716,+41d53m28.03s,41.8911186,477.05200000,5.00000000,-4.89900000,12.3140000,0.0460000,-0.0460000,10.9260000,0.0190000,-0.0190000,12.1882000,0.0001540,-0.0001540
KOI-94 d,KOI-94,2,4,Transit,2013,Kepler,0,22.34298900000,0.00000670000,-0.00000670000,0,0.1684000000,0.0022000000,-0.0022000000,0,11.27000000,1.06000000,-1.06000000,0,1.00500000,0.09500000,-0.09500000,0,106.00000000,11.00000000,-11.00000000,0,0.33400000,0.03500000,-0.03500000,0,Mass,0.022000,0.038000,-0.038000,0,97.1200,2.7550,-2.6710,0,806.00,,,0,1,,6182.00,58.00,-58.00,0,1.520000,0.140000,-0.140000,0,1.277000,0.050000,-0.050000,0,0.0228,0.0020,-0.0020,0,[Fe/H],4.181000,0.066000,-0.066000,0,19h49m19.94s,297.3330716,+41d53m28.03s,41.8911186,477.05200000,5.00000000,-4.89900000,12.3140000,0.0460000,-0.0460000,10.9260000,0.0190000,-0.0190000,12.1882000,0.0001540,-0.0001540
KOI-94 e,KOI-94,2,4,Transit,2013,Kepler,0,54.32031000000,0.00012000000,-0.00012000000,0,0.3046000000,0.0040000000,-0.0040000000,0,6.56000000,0.62000000,-0.62000000,0,0.58500000,0.05500000,-0.05500000,0,35.00000000,18.00000000,-28.00000000,0,0.11000000,0.05700000,-0.08800000,0,Mass,0.019000,0.230000,-0.230000,0,29.7000,0.8430,-0.8170,0,584.00,,,0,1,,6182.00,58.00,-58.00,0,1.520000,0.140000,-0.140000,0,1.277000,0.050000,-0.050000,0,0.0228,0.0020,-0.0020,0,[Fe/H],4.181000,0.066000,-0.066000,0,19h49m19.94s,297.3330716,+41d53m28.03s,41.8911186,477.05200000,5.00000000,-4.89900000,12.3140000,0.0460000,-0.0460000,10.9260000,0.0190000,-0.0190000,12.1882000,0.0001540,-0.0001540
KOI-984 b,KOI-984,1,2,Transit,2022,Kepler,0,4.28817850000,0.00000350000,-0.00000350000,0,0.0504000000,0.0006000000,-0.0006000000,0,4.30000000,0.05000000,-0.05000000,0,0.38362097,0.00446071,-0.00446071,0,17.10000000,,,0,0.05370000,,,0,M-R relationship,0.120000,0.020000,-0.020000,0,186.3100,56.7300,-28.3900,0,1022.00,31.00,-30.00,0,1,,5295.00,150.00,-150.00,0,0.818000,0.026000,-0.025000,0,0.928000,0.031000,-0.031000,0,0.1200,0.1000,-0.1000,0,[Fe/H],4.540000,0.150000,-0.150000,0,19h24m11.75s,291.0489438,+36d50m24.28s,36.8400772,252.66700000,,,12.7950000,0.0210000,-0.0210000,10.0160000,0.0210000,-0.0210000,,,
KOI-984 c,KOI-984,1,2,Transit Timing Variations,2022,Kepler,0,21.51200000000,0.00040000000,-0.00040000000,0,0.1467000000,0.0015000000,-0.0015000000,0,14.10000000,,,0,1.25000000,,,0,209.80000000,40.00000000,-40.00000000,0,0.66010462,0.12585407,-0.12585407,0,Mass,0.380000,0.020000,-0.020000,0,,,,,597.00,52.00,-46.00,0,0,,5295.00,150.00,-150.00,0,0.818000,0.026000,-0.025000,0,0.928000,0.031000,-0.031000,0,0.1200,0.1000,-0.1000,0,[Fe/H],4.540000,0.150000,-0.150000,0,19h24m11.75s,291.0489438,+36d50m24.28s,36.8400772,252.66700000,,,12.7950000,0.0210000,-0.0210000,10.0160000,0.0210000,-0.0210000,,,
